ID,POS,Name,Age,Prone,INT,WE,B,T,POT,STU P,MOV P,CONT P,FBP,CHP,CBP,SLP,SIP,SPP,CTP,FOP,CCP,SCP,KNP,PIT,VELO,HLD,STM,KCP,Slot,PT,G/F,CON P,GAP P,POW P,EYE P,K P,C ABI,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,STE,RUN,DEM,Sign,SctAcc
22454,RF,Tony Perez,21,Durable,Normal,Low,L,L,30,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,NEU,35,50,50,40,45,20,20,50,50,35,20,50,50,50,55,60,50,Slot,Normal,High
22755,C,Sean Thomas,17,Durable,Normal,Low,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,NEU,35,40,30,35,50,40,45,25,25,35,25,20,30,35,30,25,20,Slot,Extremely Hard,Very High
23327,CF,SEAN CAPON,21,Durable,High,Normal,R,R,35,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,30,50,55,55,35,20,20,65,50,40,50,60,70,50,70,55,40,$470k,Easy,Very High
23732,SP,Jarred Darnell,21,Normal,Normal,Normal,L,L,20,30,25,35,40,35,40,45,-,-,-,-,-,-,-,4,86-88 Mph,80,65,-,Over the Top,Normal,NEU,30,25,20,25,35,20,20,25,25,50,20,50,40,35,25,20,20,Slot,Normal,Very High
24035,RP,Ken Hartman,21,Normal,Normal,Normal,L,L,20,30,30,35,40,40,-,40,-,-,-,40,-,-,-,4,86-88 Mph,75,45,-,Normal (3/4),Normal,FB,25,25,20,25,30,20,20,25,30,50,20,40,30,50,25,20,20,Slot,Easy,Very High
24141,SP,BILL COWLEY,21,Durable,High,Normal,L,R,30,50,65,40,-,-,55,-,-,-,75,-,-,-,-,2,97-99 Mph,40,70,-,Normal (3/4),GB'er,GB,30,30,20,30,45,20,20,25,35,60,25,25,55,30,25,25,30,Slot,Easy,High
24268,SP,Dan Riendeau,22,Normal,Normal,Low,L,L,20,45,25,30,50,60,-,55,-,-,-,-,-,-,-,3,88-90 Mph,50,55,-,Normal (3/4),Normal,NEU,30,30,30,25,40,20,20,35,30,65,25,35,30,35,30,20,20,Slot,Hard,High
24270,SP,Chris Watts,21,Durable,Normal,Normal,S,R,20,40,25,35,45,40,-,45,-,-,-,50,-,-,-,4,91-93 Mph,50,60,-,Over the Top,Normal,NEU,30,30,25,25,35,20,20,35,30,50,25,35,30,35,30,25,25,Slot,Normal,Very High
24439,2B,Dane Lanpher,21,Normal,High,Normal,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,45,40,25,40,65,20,20,55,40,30,70,40,50,25,65,55,50,Slot,Normal,Very High
24503,SP,Eddie Romans,20,Durable,Normal,Low,R,R,20,25,25,40,35,20,-,-,-,40,-,-,-,-,-,3,84-86 Mph,30,65,-,Normal (3/4),Normal,FB,30,30,20,20,45,20,20,35,35,45,35,35,25,30,20,20,20,Slot,Normal,Very High
24514,2B,Tony Brado,18,Durable,High,Low,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,35,40,35,45,45,20,20,35,35,35,40,35,45,25,55,45,60,Slot,Extremely Hard,High
24596,C,Billy Ybarra,21,Normal,Normal,Low,R,R,20,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,EX FB,30,35,30,45,35,45,45,25,30,40,30,30,25,40,20,20,20,Slot,Hard,High
24651,RP,Kevin Garbutt,22,Normal,Normal,Low,L,L,20,35,25,35,-,45,40,45,-,-,40,-,-,-,-,4,89-91 Mph,70,45,-,Normal (3/4),Normal,NEU,25,30,20,25,25,25,20,30,20,45,25,25,30,30,25,25,20,Slot,Very Easy,Very High
24872,RP,Rusty LeBeau,21,Normal,Normal,Normal,R,R,20,30,25,25,40,30,-,35,-,40,-,-,-,-,-,4,89-91 Mph,45,50,-,Normal (3/4),Normal,FB,30,30,20,20,35,20,20,30,25,50,20,25,30,30,20,25,20,Slot,Normal,High
24879,RP,Jim Still,21,Durable,Normal,Normal,L,R,20,40,25,25,-,25,50,-,-,-,45,-,-,-,-,3,86-88 Mph,30,40,-,Normal (3/4),Normal,NEU,25,25,20,20,30,20,25,30,25,40,20,40,35,40,25,20,35,Slot,Hard,Very High
25111,CF,Jared Kramer,21,Normal,Normal,High,R,R,30,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,35,30,25,40,45,20,20,55,40,40,45,70,55,55,70,80,70,Slot,Easy,Very High
25272,CF,Zach Lyle,21,Durable,Normal,Normal,L,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,30,30,35,35,45,20,25,40,30,50,35,60,55,55,45,60,70,Slot,Easy,Very High
25283,SS,Chris Bullington,17,Normal,Normal,Normal,R,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,40,50,35,45,55,20,20,55,50,55,45,35,40,50,35,20,20,Slot,Extremely Hard,Very High
25356,SP,Phil Robinson,18,Durable,Low,Normal,R,R,25,45,45,50,65,30,-,65,-,-,-,-,-,-,-,3,92-94 Mph,35,75,-,Normal (3/4),Normal,NEU,35,30,25,20,45,20,20,25,30,40,25,35,25,25,25,20,20,$490k,Extremely Hard,Very High
25358,SP,Mike Prudhomme,17,Normal,Normal,Normal,L,R,20,40,30,40,40,50,45,50,-,-,-,40,-,-,-,5,86-88 Mph,70,55,-,Normal (3/4),Normal,NEU,25,25,20,20,25,20,20,30,35,50,40,45,30,30,25,20,20,Slot,Extremely Hard,High
25386,SP,Eddie Gallegos,21,Fragile,Normal,Low,L,L,20,45,25,40,50,60,-,55,-,-,-,-,-,-,-,3,89-91 Mph,75,60,-,Normal (3/4),Normal,NEU,30,35,20,20,45,20,20,35,35,45,20,40,25,30,25,25,30,Slot,Normal,Very High
25656,SS,Steven McKnight,21,Durable,Normal,Low,R,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,30,30,25,55,40,20,20,60,45,70,65,30,45,70,60,65,55,Slot,Normal,High
25740,SP,Bobby Rivera,21,Normal,Normal,Normal,R,R,20,25,25,25,-,40,35,-,-,-,35,-,-,-,-,3,85-87 Mph,50,55,-,Normal (3/4),Normal,NEU,35,30,20,20,60,20,20,35,30,55,30,20,30,25,20,20,20,Slot,Normal,Very High
26793,SP,Tadaatsu Matsushita,21,Durable,Normal,High,R,R,20,45,25,35,55,40,70,-,-,-,-,-,-,-,-,3,88-90 Mph,45,65,-,Over the Top,Normal,FB,30,35,20,20,45,20,20,35,25,60,25,30,20,30,30,25,25,Slot,Extremely Hard,Very High
26853,3B,Kevin O'Brien,21,Normal,Normal,Normal,R,R,30,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,45,35,35,45,50,20,20,60,50,65,40,40,50,65,35,45,45,Slot,Easy,Very High
26854,SP,Rusty Ekins,21,Normal,Normal,High,R,R,20,30,25,30,40,35,55,-,-,-,-,-,-,-,-,3,84-86 Mph,35,75,-,Normal (3/4),Normal,FB,25,25,20,20,30,20,20,30,30,45,30,25,30,25,25,20,30,Slot,Easy,High
26858,CL,Josh Clark,21,Normal,Normal,Low,L,R,20,45,35,35,55,-,-,-,-,55,-,-,-,-,-,2,91-93 Mph,30,35,-,Normal (3/4),Normal,NEU,30,30,25,25,35,20,20,30,35,75,30,40,30,40,20,20,25,Slot,Easy,Very High
26903,3B,Chris Glanville,20,Durable,High,High,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,30,35,45,45,30,20,20,45,40,65,35,50,45,65,40,35,35,Slot,Normal,Very High
27006,CF,Doug Kruzel,21,Normal,Normal,Low,R,R,35,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,NEU,40,40,30,45,50,20,20,60,45,40,50,70,50,45,70,75,80,Slot,Easy,High
27137,SP,Joe Peterson,21,Normal,Low,Normal,R,R,20,40,25,35,-,45,30,50,-,-,55,-,-,-,-,4,93-95 Mph,30,75,-,Normal (3/4),Normal,NEU,20,30,20,25,20,20,20,30,30,45,25,35,30,30,40,35,25,Slot,Hard,Very High
27316,2B,Chris Matuszak,20,Normal,Normal,Normal,L,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,NEU,40,35,25,45,60,20,20,50,60,45,50,35,50,35,65,55,60,Slot,Normal,High
27330,C,Bob Street,18,Durable,Low,Low,S,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,EX FB,30,40,40,50,30,45,50,35,35,40,20,25,40,40,25,25,30,Slot,Normal,High
27411,SP,Ted Flood,21,Durable,Normal,High,R,R,20,40,25,35,55,25,50,-,-,-,-,50,-,-,-,4,91-93 Mph,40,70,-,Normal (3/4),Normal,FB,30,45,35,45,40,20,20,40,50,80,60,60,50,75,65,55,60,Slot,Hard,Very High
27450,1B,Jalen McGuire,21,Durable,Normal,Normal,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,35,40,45,45,45,20,25,55,40,40,30,35,20,35,30,25,20,Slot,Normal,High
27577,2B,Ken Whitney,21,Durable,High,High,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,35,30,45,40,45,20,20,60,40,40,60,40,40,35,55,45,35,Slot,Easy,Very High
27638,SP,Chris Williams,20,Normal,Normal,Normal,L,L,20,25,25,30,30,35,25,-,-,35,-,35,-,-,-,5,83-85 Mph,55,70,-,Normal (3/4),Normal,NEU,25,30,20,25,35,20,20,35,20,45,20,60,25,25,20,25,20,Slot,Extremely Hard,Very High
27779,SP,Victor Padilla,18,Normal,Normal,High,S,R,20,40,30,40,60,25,-,60,-,-,-,-,-,-,-,3,90-92 Mph,30,65,-,Normal (3/4),Normal,FB,30,25,30,20,35,20,20,30,30,35,25,35,25,30,35,25,20,Slot,Extremely Hard,Very High
27924,SS,C.J. FARLEY,20,Durable,High,Normal,R,R,40,50,55,50,70,-,60,-,-,-,-,-,-,-,-,2,92-94 Mph,50,55,-,Normal (3/4),Normal,NEU,60,60,25,30,70,20,20,55,65,70,70,35,65,75,60,55,50,$700k,Hard,Very High
28005,SP,Robby Ferrell,22,Durable,High,Normal,R,R,20,30,30,30,55,25,-,-,40,-,-,-,-,-,-,3,89-91 Mph,80,65,-,Over the Top,Normal,NEU,20,35,20,25,25,20,20,30,25,50,40,30,35,30,25,20,20,Slot,Very Easy,Very High
28032,SP,Nate Camacho,21,Durable,Normal,Normal,L,R,25,50,45,45,70,25,65,-,-,-,-,-,-,-,-,3,97-99 Mph,70,50,-,Normal (3/4),Power,NEU,25,30,20,25,25,20,20,25,30,50,25,40,25,35,20,20,20,Slot,Hard,High
28212,2B,Brandon Yates,21,Durable,Normal,Low,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,30,30,25,45,40,20,20,55,50,45,45,45,50,35,65,30,20,Slot,Normal,High
28256,SP,JONATHAN LARSON,18,Durable,Normal,Normal,R,R,45,45,55,50,45,65,30,-,-,-,-,55,-,-,-,4,88-90 Mph,60,55,-,Normal (3/4),GB'er,GB,20,30,20,25,25,20,20,30,30,35,30,30,20,30,30,30,30,$4.0m,Extremely Hard,Very High
28329,SP,TIM PEPIN,21,Durable,Normal,Normal,R,R,30,45,45,45,-,45,50,35,-,-,60,55,-,-,-,5,94-96 Mph,35,50,-,Normal (3/4),Normal,NEU,25,25,20,25,30,20,20,30,20,35,35,30,25,40,25,20,25,$210k,Normal,High
28374,2B,Dave Ligon,18,Normal,High,Normal,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,FB,35,35,30,45,50,20,20,50,40,50,45,40,50,45,40,40,50,Slot,Extremely Hard,Very High
28384,SS,Josh Hollander,21,Normal,High,High,R,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,30,45,30,50,40,20,20,65,50,55,50,35,40,55,60,30,30,Slot,Easy,Very High
28392,SP,Jose Castillo,20,Normal,Low,Low,R,R,20,30,25,35,40,40,-,45,-,-,-,-,-,-,-,3,86-88 Mph,30,70,-,Normal (3/4),Normal,FB,25,30,20,25,35,20,20,35,20,50,25,35,25,45,25,20,20,Slot,Normal,Very High
28443,SP,Adam Watkins,21,Normal,Low,Normal,L,L,20,35,30,35,45,40,-,-,-,-,45,45,-,-,-,5,91-93 Mph,55,75,35,Normal (3/4),Normal,NEU,20,30,25,25,20,25,20,30,30,55,25,65,35,30,45,20,25,Slot,Hard,Very High
28539,RP,Pat Darling,21,Durable,Normal,Normal,R,R,20,40,30,45,55,-,-,55,-,-,-,-,-,-,-,2,90-92 Mph,30,50,-,Normal (3/4),Normal,NEU,25,25,25,25,25,20,20,35,25,55,40,40,35,35,20,20,20,Slot,Normal,High
28552,SP,STEVE COOK,21,Durable,Normal,Normal,S,R,55,50,55,50,65,55,35,-,-,60,-,-,-,-,-,4,96-98 Mph,50,70,-,Normal (3/4),Power,NEU,45,60,40,35,70,20,20,45,55,55,70,55,45,60,65,65,55,$6.0m,Hard,Very High
28563,C,Jose Munoz,21,Normal,Normal,Low,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,30,45,40,50,40,55,50,30,40,40,25,30,40,40,25,45,55,Slot,Easy,Very High
28640,RF,Andy Newcomb,22,Normal,Normal,Normal,L,L,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,40,35,30,40,50,25,20,25,25,45,20,55,45,55,70,55,50,Slot,Normal,High
28711,2B,Isaiah Miller,22,Durable,High,Low,R,R,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,30,35,30,40,45,20,20,65,55,45,50,40,50,35,60,35,40,Slot,Hard,High
28853,RF,Danny Murray,21,Normal,Normal,Normal,L,L,20,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,FB,30,30,40,45,40,20,20,30,30,50,25,50,50,60,40,50,40,Slot,Hard,High
28970,SP,Kevin Garner,21,Normal,Normal,Low,R,R,20,35,25,25,40,60,-,45,-,-,-,-,-,-,-,3,86-88 Mph,55,55,-,Normal (3/4),Normal,FB,25,30,20,25,30,20,20,30,25,45,25,35,25,30,20,20,20,Slot,Hard,High
29275,C,Chris Snow,21,Durable,Low,Normal,R,R,35,20,25,25,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,NEU,40,50,40,45,50,50,50,40,40,35,35,55,45,30,25,35,25,Slot,Easy,High
30076,CF,TED CLARK,21,Normal,Normal,High,L,L,40,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Over the Top,Normal,EX FB,45,50,55,35,50,20,20,55,40,35,20,65,40,50,75,60,55,$240k,Very Easy,Very High
30107,SP,Dusty Clements,21,Durable,Normal,Normal,S,L,30,35,40,50,50,45,-,55,-,-,-,-,-,-,-,3,89-91 Mph,55,65,-,Over the Top,Normal,NEU,20,30,20,25,25,20,20,30,25,55,20,30,25,25,20,20,20,Slot,Hard,High
30478,3B,Maddox Minty,21,Normal,Normal,Low,R,R,25,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,30,55,55,40,30,20,20,50,45,70,40,55,50,75,40,25,25,Slot,Normal,Very High
30590,CF,Chris Vereen,21,Durable,High,Normal,L,L,30,20,25,20,25,-,-,-,-,-,-,-,-,-,-,1,80-83 Mph,20,20,-,Normal (3/4),Normal,EX FB,40,55,45,40,45,20,20,55,40,55,20,50,45,70,45,35,40,Slot,Normal,High
31122,SP,Jaeden Stinson,21,Normal,Normal,Normal,R,R,25,45,55,40,60,20,-,-,60,-,-,-,-,-,-,3,92-94 Mph,65,50,-,Over the Top,GB'er,GB,30,30,20,20,35,20,20,30,30,45,25,20,30,55,25,20,20,Slot,Very Easy,High
31659,SP,JIMMY PURSER,21,Normal,Normal,Normal,R,R,30,45,40,45,55,25,65,55,-,-,-,-,-,-,-,4,91-93 Mph,35,50,-,Normal (3/4),Normal,NEU,50,55,25,25,80,20,20,30,25,50,30,60,50,45,65,50,45,$240k,Normal,High
31863,RP,Dusty Tims,21,Fragile,Normal,Normal,L,L,20,40,25,35,45,50,55,-,-,-,-,-,-,-,-,3,87-89 Mph,75,35,-,Normal (3/4),Normal,NEU,35,30,20,25,55,20,20,30,30,60,20,25,40,60,35,25,25,Slot,Very Easy,Very High
